Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
ileave tube of /PS-171045.2,=67132086/835,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710002-66620M0-01",E 172114.242mm N 160458.265mm U 562.7mm,,,,
PS-171045.2,=67132086/835,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710002-66620M0-01",E 172054.065mm N 160458.265mm U 563.001mm,,,,
PS-171045.1,=67132086/834,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710002-66620M0-01",E 172054.065mm N 160458.265mm U 563.001mm,,,,
ileave tube of =67132086/833,=67132086/833,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171975.142mm N 160458.265mm U 563.395mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/833,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171816.22mm N 160458.265mm U 564.19mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/832,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171813.02mm N 160458.265mm U 564.206mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/831,PCOM,66620M0r01-GAS1/SBNF-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171803.32mm N 160458.265mm U 564.255mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/830,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171800.12mm N 160458.265mm U 564.271mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/829,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171654.122mm N 160458.265mm U 565.001mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/828,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171504.924mm N 160458.265mm U 565.747mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/827,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171504.924mm N 160458.265mm U 565.747mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/826,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171348.928mm N 160458.267mm U 566.527mm,,,,
ileave tube of =67132086/825,=67132086/825,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171348.928mm N 160233.047mm U 567.653mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/825,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171348.928mm N 160008.204mm U 568.777mm,,,,
"ileave tube of /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/824,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710002-66620M0-01",E 171348.929mm N 160008.202mm U 678.149mm,,,,
"BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/824,BRAN,,"BTRM-1000-2""-D1710002-66620M0-01",,,,,
"BTRM-1000-2""-D1710002-66620M0-01",=67132086/823,PIPE,,"BTRM-1000-2""-D1710002-66620M0-01",,,,,
"GASKET 6 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/822,GASK,66620M0r01-GAS1/GKSW-100,"BTRM-1000-2""-D1710001-66620M0-01",E 172983.807mm N 158308.195mm U 547.921mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/821,FLAN,66620M0r01-GAS1/WNFL-100,"BTRM-1000-2""-D1710001-66620M0-01",E 172983.807mm N 158308.195mm U 547.921mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/820,REDU,66620M0r01-GAS1/RECB-100x50,"BTRM-1000-2""-D1710001-66620M0-01",E 172874.808mm N 158308.195mm U 548.466mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/819,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172692.811mm N 158308.195mm U 549.376mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/818,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172689.611mm N 158308.195mm U 549.392mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/817,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172543.613mm N 158308.195mm U 550.122mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/816,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172394.414mm N 158308.195mm U 550.868mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/815,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172394.414mm N 158308.195mm U 550.868mm,,,,
"TEE 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/814,TEE,66620M0r01-GAS1/TEEB-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172250.416mm N 158308.195mm U 551.588mm,,,,
ileave tube of /PS-171039.2,=67132086/813,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710001-66620M0-01",E 172123.918mm N 158308.195mm U 552.22mm,,,,
PS-171039.2,=67132086/813,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710001-66620M0-01",E 172061.419mm N 158308.195mm U 552.533mm,,,,
PS-171039.1,=67132086/812,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710001-66620M0-01",E 172061.419mm N 158308.195mm U 552.533mm,,,,
ileave tube of =67132086/811,=67132086/811,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171986.42mm N 158308.195mm U 552.908mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/811,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171831.421mm N 158308.195mm U 553.683mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/810,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171828.222mm N 158308.195mm U 553.699mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/809,PCOM,66620M0r01-GAS1/SBNF-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171818.522mm N 158308.195mm U 553.747mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/808,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171815.322mm N 158308.195mm U 553.763mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/807,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171669.324mm N 158308.195mm U 554.493mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/806,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171520.125mm N 158308.195mm U 555.24mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/805,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171520.125mm N 158308.195mm U 555.24mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/804,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171364.129mm N 158308.195mm U 556.02mm,,,,
ileave tube of =67132086/803,=67132086/803,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171364.129mm N 158583.384mm U 557.396mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/803,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171364.129mm N 158858.196mm U 558.77mm,,,,
"ileave tube of /BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/802,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710001-66620M0-01",E 171364.129mm N 158858.198mm U 673.145mm,,,,
"BTRM-1000-2""-D1710001-66620M0-01/B1",=67132086/802,BRAN,,"BTRM-1000-2""-D1710001-66620M0-01",,,,,
"BTRM-1000-2""-D1710001-66620M0-01",=67132086/801,PIPE,,"BTRM-1000-2""-D1710001-66620M0-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-4""-D1710003-11503-01/B3",=67132086/800,BEND,11503_i20/BEND-100,"BTRM-1000-4""-D1710003-11503-01",E 176870.992mm N 158308.195mm U 528.483mm,,,,
ileave tube of /PS-171044.2,=67132086/799,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710003-11503-01",E 176706.346mm N 158308.195mm U 529.306mm,,,,
PS-171044.2,=67132086/799,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D1710003-11503-01",E 176541.7mm N 158308.195mm U 530.13mm,,,,
ileave tube of /PS-171041.2,=67132086/798,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710003-11503-01",E 174899.913mm N 158308.195mm U 538.339mm,,,,
PS-171041.2,=67132086/798,ATTA,MDS/GT573-100-PMP,"BTRM-1000-4""-D1710003-11503-01",E 173258.125mm N 158308.195mm U 546.549mm,,,,
PS-171041.1,=67132086/797,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D1710003-11503-01",E 173258.125mm N 158308.195mm U 546.549mm,,,,
ileave tube of =67132086/796,=67132086/796,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710003-11503-01",E 173177.065mm N 158308.195mm U 546.954mm,,,,
"WELD 1 of BRANCH /BTRM-1000-4""-D1710003-11503-01/B3",=67132086/796,WELD,11503_i20/BWLD-100,"BTRM-1000-4""-D1710003-11503-01",E 173096.006mm N 158308.195mm U 547.359mm,,,,
"BTRM-1000-4""-D1710003-11503-01/B3",=67132086/795,BRAN,,"BTRM-1000-4""-D1710003-11503-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-D1710003-11503-01/B2",=67132086/794,FLAN,61503_i20/WNFL-100,"BTRM-1000-4""-D1710003-11503-01",E 172987.007mm N 158308.195mm U 547.905mm,,,,
"BTRM-1000-4""-D1710003-11503-01/B2",=67132086/793,BRAN,,"BTRM-1000-4""-D1710003-11503-01",,,,,
ileave tube of =67132086/792,=67132086/792,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710003-11503-01",E 176975.994mm N 158759.701mm U 526.211mm,,,,
"TEE 1 of BRANCH /BTRM-1000-4""-D1710003-11503-01/B1",=67132086/792,TEE,11503_i20/TEEB-100,"BTRM-1000-4""-D1710003-11503-01",E 176975.992mm N 158308.195mm U 528.481mm,,,,
ileave tube of =67132086/791,=67132086/791,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710003-11503-01",E 176975.992mm N 157847.966mm U 530.782mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-4""-D1710003-11503-01/B1",=67132086/791,ELBO,11503_i20/E45B-100,"BTRM-1000-4""-D1710003-11503-01",E 176975.992mm N 157428.736mm U 532.879mm,,,,
"BTRM-1000-4""-D1710003-11503-01/B1",=67132086/790,BRAN,,"BTRM-1000-4""-D1710003-11503-01",,,,,
"BTRM-1000-4""-D1710003-11503-01",=67132086/789,PIPE,,"BTRM-1000-4""-D1710003-11503-01",,,,,
"FBLIND 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B4",=67132086/788,FBLI,11503_i20/BLFL-50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.54mm U 622.308mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B4",=67132086/787,GASK,11503_i20/GKSW-50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.54mm U 619.308mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B4",=67132086/786,VALV,11503_i20/BVRFS-50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.54mm U 530.308mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B4",=67132086/785,GASK,11503_i20/GKSW-50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.54mm U 438.308mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B4",=67132086/784,FLAN,11503_i20/WNFL-50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.54mm U 438.308mm,,,,
"BEND 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B4",=67132086/783,BEND,11503_i20/BEND-50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.54mm U 374.308mm,,,,
"BTRM-1000-4""-D7610003-11503-01/B4",=67132086/782,BRAN,,"BTRM-1000-4""-D7610003-11503-01",,,,,
"GASKET 2 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B3",=67132086/781,GASK,31503_i20/GKSW-100,"BTRM-1000-4""-D7610003-11503-01",E 211999.999mm N 146949.996mm D 221.997mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B3",=67132086/780,PCOM,31503_i20/SBNF-100,"BTRM-1000-4""-D7610003-11503-01",E 211999.999mm N 146949.996mm D 209.297mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B3",=67132086/779,GASK,31503_i20/GKSW-100,"BTRM-1000-4""-D7610003-11503-01",E 211999.999mm N 146949.996mm D 206.297mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B3",=67132086/778,FLAN,31503_i20/WNFL-100,"BTRM-1000-4""-D7610003-11503-01",E 211999.999mm N 146949.996mm D 206.297mm,,,,
"BTRM-1000-4""-D7610003-11503-01/B3",=67132086/777,BRAN,,"BTRM-1000-4""-D7610003-11503-01",,,,,
ileave tube of =67132086/776,=67132086/776,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212000.001mm N 146949.994mm U 4.742mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B2",=67132086/776,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-D7610003-11503-01",E 212000.003mm N 146949.992mm U 281.022mm,,,,
ileave tube of =67132086/775,=67132086/775,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212299.729mm N 146949.992mm U 282.521mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B2",=67132086/775,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 146949.992mm U 284.024mm,,,,
"TEE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B2",=67132086/774,TEE,11503_i20/TERB-100x50,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147206.985mm U 285.309mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B2",=67132086/773,FLAN,11503_i20/WNFL-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147388.982mm U 286.219mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B2",=67132086/772,GASK,11503_i20/GKSW-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147391.982mm U 286.234mm,,,,
76-VBL-20001,=67132086/771,VALV,11503_i20/BVFFL-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147506.481mm U 286.806mm,,,,
"BTRM-1000-4""-D7610003-11503-01/B2",=67132086/770,BRAN,,"BTRM-1000-4""-D7610003-11503-01",,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/769,GASK,11503_i20/GKSW-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147623.979mm U 287.394mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/768,FLAN,11503_i20/WNFL-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147623.979mm U 287.394mm,,,,
ileave tube of /PS-171091.3,=67132086/767,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147840.454mm U 288.476mm,,,,
PS-171091.3,=67132086/767,ATTA,MDS/GT574-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147979.929mm U 289.174mm,,,,
PS-171091.1,=67132086/766,ATTA,MDS/GT575-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147979.929mm U 289.174mm,,,,
PS-171091.2,=67132086/765,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 147979.929mm U 289.174mm,,,,
ileave tube of =67132086/764,=67132086/764,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 148389.969mm U 291.224mm,,,,
"ATTACHMENT 18 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/764,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 148800.009mm U 293.274mm,,,,
"ATTACHMENT 17 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/763,ATTA,11503_i20/PENE-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 148800.009mm U 293.274mm,,,,
ileave tube of /SL-171512.1,=67132086/762,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 149724.868mm U 297.899mm,,,,
SL-171512.1,=67132086/762,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 150649.727mm U 302.524mm,,,,
ileave tube of /SL-171511.2,=67132086/761,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 153616.961mm U 317.361mm,,,,
SL-171511.2,=67132086/761,ATTA,MDS/GT574-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 156584.195mm U 332.199mm,,,,
SL-171511.1,=67132086/760,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 156584.195mm U 332.199mm,,,,
"ATTACHMENT 13 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/759,ATTA,11503_i20/ATTA-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 159106.208mm U 344.81mm,,,,
ileave tube of =67132086/758,=67132086/758,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 157845.202mm U 338.504mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/758,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-D7610003-11503-01",E 212600.209mm N 159258.202mm U 345.57mm,,,,
ileave tube of /SL-171510.2,=67132086/757,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 211999.509mm N 159258.202mm U 348.573mm,,,,
SL-171510.2,=67132086/757,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 211550.804mm N 159258.202mm U 350.817mm,,,,
ileave tube of /SL-171509.2,=67132086/756,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 208550.879mm N 159258.202mm U 365.818mm,,,,
SL-171509.2,=67132086/756,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 205550.954mm N 159258.202mm U 380.819mm,,,,
ileave tube of /SL-171508.4,=67132086/755,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 202550.941mm N 159258.202mm U 395.82mm,,,,
SL-171508.4,=67132086/755,ATTA,MDS/GT574-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 199550.929mm N 159258.202mm U 410.821mm,,,,
SL-171508.2,=67132086/754,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 199550.929mm N 159258.202mm U 410.821mm,,,,
ileave tube of /SL-171507.4,=67132086/753,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 196550.966mm N 159258.202mm U 425.822mm,,,,
SL-171507.4,=67132086/753,ATTA,MDS/GT574-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 193551.004mm N 159258.202mm U 440.823mm,,,,
SL-171507.2,=67132086/752,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 193551.004mm N 159258.202mm U 440.823mm,,,,
ileave tube of /SL-171506.2,=67132086/751,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 191502.055mm N 159258.202mm U 451.069mm,,,,
SL-171506.2,=67132086/751,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 189453.106mm N 159258.202mm U 461.315mm,,,,
ileave tube of /SL-171505.4,=67132086/750,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 187651.001mm N 159258.202mm U 470.326mm,,,,
SL-171505.4,=67132086/750,ATTA,MDS/GT574-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 185848.897mm N 159258.202mm U 479.337mm,,,,
SL-171505.1,=67132086/749,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 185848.897mm N 159258.202mm U 479.337mm,,,,
ileave tube of =67132086/748,=67132086/748,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 184338.036mm N 159258.202mm U 486.892mm,,,,
"TEE 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/748,TEE,11503_i20/TEEB-100,"BTRM-1000-4""-D7610003-11503-01",E 182722.177mm N 159258.202mm U 494.972mm,,,,
ileave tube of /SL-171502.5,=67132086/747,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 181734.288mm N 159258.202mm U 499.912mm,,,,
SL-171502.5,=67132086/747,ATTA,MDS/GT575-100-PMP,"BTRM-1000-4""-D7610003-11503-01",E 180851.397mm N 159258.202mm U 504.327mm,,,,
SL-171502.4,=67132086/746,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 180851.397mm N 159258.202mm U 504.327mm,,,,
ileave tube of /PS-171054.1,=67132086/745,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 179088.904mm N 159258.202mm U 513.14mm,,,,
PS-171054.1,=67132086/745,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D7610003-11503-01",E 177326.412mm N 159258.202mm U 521.953mm,,,,
ileave tube of =67132086/744,=67132086/744,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D7610003-11503-01",E 177227.201mm N 159258.202mm U 522.449mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-4""-D7610003-11503-01/B1",=67132086/744,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-D7610003-11503-01",E 176975.996mm N 159258.202mm U 523.705mm,,,,
"BTRM-1000-4""-D7610003-11503-01/B1",=67132086/743,BRAN,,"BTRM-1000-4""-D7610003-11503-01",,,,,
"BTRM-1000-4""-D7610003-11503-01",=67132086/742,PIPE,,"BTRM-1000-4""-D7610003-11503-01",,,,,
"FBLIND 1 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B2",=67132086/741,FBLI,11503_i20/BLFL-25,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156695.087mm U 1098.786mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B2",=67132086/740,GASK,11503_i20/GKSW-25,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156695.072mm U 1095.786mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B2",=67132086/739,VALV,11503_i20/BVRFS-25,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156694.754mm U 1032.287mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B2",=67132086/738,GASK,11503_i20/GKSW-25,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156694.422mm U 965.787mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B2",=67132086/737,FLAN,11503_i20/WNFL-25,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156694.422mm U 965.787mm,,,,
"BTRM-1000-2""-D1710004-11503-01/B2",=67132086/736,BRAN,,"BTRM-1000-2""-D1710004-11503-01",,,,,
"REDUCER 1 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B1",=67132086/735,REDU,11503_i20/RECB-100x50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 157383.482mm U 578.134mm,,,,
ileave tube of =67132086/734,=67132086/734,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 157220.493mm U 741.122mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B1",=67132086/734,ELBO,11503_i20/E45B-50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 157104.881mm U 856.734mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B1",=67132086/733,FLAN,11503_i20/WNFL-50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 157005.883mm U 857.229mm,,,,
"GASKET 6 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B1",=67132086/732,GASK,11503_i20/GKSW-50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 157002.883mm U 857.244mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B1",=67132086/731,VALV,11503_i20/BVRFS-50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156913.884mm U 857.689mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-2""-D1710004-11503-01/B1",=67132086/730,GASK,11503_i20/GKSW-50,"BTRM-1000-2""-D1710004-11503-01",E 176975.992mm N 156821.885mm U 858.149mm,,,,
